Method,Name,Error,Occurrences
POST,/rni/v2/queries/rab_info/1,"ConnectionResetError(104, 'Connection reset by peer')",43
POST,/rni/v2/queries/plmn_info/1,"TimeoutError(110, 'Connection timed out')",13
POST,/rni/v2/queries/rab_info/1,"TimeoutError(110, 'Connection timed out')",15
POST,/rni/v2/queries/plmn_info/1,"ConnectionResetError(104, 'Connection reset by peer')",41
