Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,38000,54,1100.0,1899.0337053381586,372.3343390010996,130110.31867400743,171.75557894736843,63.3668741484128,0.09004766326353397,1100,1200,2100,2100,2800,4200,8300,8800,33000,130000,130000
POST,/rni/v2/queries/rab_info/1,38595,58,1100.0,1888.8500608291847,344.02511100051925,130986.6571110033,845.72714082135,64.35906599363136,0.09671786054231427,1100,1200,2100,2100,2700,4200,8200,8800,33000,130000,131000
,Aggregated,76595,112,1100.0,1893.9023291409812,344.02511100051925,130986.6571110033,511.35910960245445,127.72594014204417,0.18676552380584824,1100,1200,2100,2100,2800,4200,8200,8800,33000,130000,131000
