Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1694756500,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694756501,500,,Aggregated,0.000000,0.000000,660,730,770,830,920,940,950,950,950,950,950,79,0,660.0,675.9394385827605,344.02511100051925,953.2720080023864,496.6835443037975
1694756502,500,,Aggregated,0.000000,0.000000,1300,1300,1400,1400,1700,1800,1900,1900,1900,1900,1900,308,84,1300.0,1189.5239339837526,344.02511100051925,1918.5903930047061,372.737012987013
1694756503,500,,Aggregated,0.000000,0.000000,1300,1700,2100,2200,2500,2600,2800,2800,2800,2800,2800,445,84,1300.0,1519.6171249997124,344.02511100051925,2825.849148997804,411.0494382022472
1694756504,500,,Aggregated,59.000000,0.000000,1300,1800,2100,2300,2800,3200,3300,3300,3800,3800,3800,579,84,1300.0,1585.4424850431926,344.02511100051925,3761.6208300023573,425.6735751295337
1694756505,500,,Aggregated,112.666667,28.000000,1300,1500,2000,2200,2600,3100,3300,3300,3800,3800,3800,704,84,1300.0,1509.6129557458546,344.02511100051925,3761.6208300023573,446.78977272727275
1694756506,500,,Aggregated,119.250000,21.000000,1200,1400,1900,2100,2500,2900,3300,3300,3800,3800,3800,841,84,1200.0,1471.1188158015827,344.02511100051925,3761.6208300023573,456.6040428061831
1694756507,500,,Aggregated,120.800000,16.800000,1100,1400,2100,2100,2500,2800,3300,3300,4100,4100,4100,972,84,1100.0,1487.8322746236222,344.02511100051925,4122.075573002803,463.3858024691358
1694756508,500,,Aggregated,122.333333,14.000000,1100,1400,2100,2100,2500,2900,3300,3800,4300,4300,4300,1109,84,1100.0,1495.3011322525888,344.02511100051925,4310.276080010226,465.1262398557259
1694756509,500,,Aggregated,123.857143,12.000000,1100,1400,2100,2100,2500,3100,3800,4100,4900,4900,4900,1244,84,1100.0,1512.1155845998258,344.02511100051925,4861.412037003902,462.61655948553056
1694756510,500,,Aggregated,125.750000,10.500000,1100,1500,2100,2100,2600,3200,4100,4300,4900,5100,5100,1381,84,1100.0,1537.085414557037,344.02511100051925,5104.079124008422,467.51194786386674
1694756511,500,,Aggregated,126.555556,9.333333,1100,1400,2100,2100,2500,3200,4100,4300,5100,5800,5800,1507,84,1100.0,1532.661223625833,344.02511100051925,5800.217089999933,468.33510285335103
1694756512,500,,Aggregated,127.200000,8.400000,1100,1400,2100,2100,2500,3200,4100,4300,5100,5800,5800,1648,84,1100.0,1529.3791211608852,344.02511100051925,5800.217089999933,473.7002427184466
1694756513,500,,Aggregated,140.500000,8.400000,1100,1400,2100,2100,2500,3200,4100,4300,8300,8800,8800,1772,84,1100.0,1545.8972816440191,344.02511100051925,8804.323881995515,478.11004514672686
1694756514,500,,Aggregated,142.300000,8.400000,1100,1400,2100,2100,2500,3200,4100,4300,9200,9400,9400,1910,84,1100.0,1550.9322084593475,344.02511100051925,9389.637236003182,481.0848167539267
1694756515,500,,Aggregated,133.200000,0.000000,1100,1400,2100,2100,2500,3200,4100,4500,9200,14000,14000,2039,84,1100.0,1563.6343526563435,344.02511100051925,14314.479374006623,480.73075036782734
1694756516,500,,Aggregated,132.300000,0.000000,1100,1400,2100,2100,2500,3200,4100,4500,9200,14000,14000,2170,84,1100.0,1562.2430522337795,344.02511100051925,14314.479374006623,483.2451612903226
