Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,7423,0,17,30.148693879487617,6.10356499964837,868.6937470047269,172.0,24.77081706500407,0.0,17,29,37,43,61,76,99,120,840,870,870
POST,/rni/v2/queries/rab_info/1,7334,0,17,30.08887835286047,6.161527999211103,866.5193320048274,847.0,24.473820874948117,0.0,17,29,38,44,61,76,97,120,820,870,870
,Aggregated,14757,0,17,30.11896649097481,6.10356499964837,868.6937470047269,507.46452531002234,49.24463793995219,0.0,17,29,38,44,61,76,98,120,830,870,870
