Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,6448,0,280.0,334.4853941519868,13.505771000382083,1394.755798999995,114.0,21.495794886414988,0.0,280,390,480,530,690,840,970,1100,1300,1400,1400
POST,/rni/v2/queries/rab_info/1,6479,0,270.0,329.3009847570603,13.122796000061498,1464.3661499999325,403.0,21.599140054138136,0.0,270,390,480,530,690,830,970,1100,1300,1500,1500
,Aggregated,12927,0,280.0,331.886973136304,13.122796000061498,1464.3661499999325,258.8465227817746,43.094934940553124,0.0,280,390,480,530,690,840,970,1100,1300,1400,1500
