Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,24113,170,1900.0,4086.9829000010013,502.04944200049795,183051.84592899968,113.19628416207026,40.19066749381948,0.28334978948904377,1900,2800,2900,3500,5200,9200,18000,35000,131000,183000,183000
POST,/rni/v2/queries/rab_info/1,24251,200,1900.0,4099.118518725264,523.9798489992609,183017.194348,399.67642571440354,40.42068085234589,0.3333526935165221,1900,2800,2900,3700,5200,9300,18000,34000,130000,183000,183000
,Aggregated,48364,370,1900.0,4093.0680230198027,502.04944200049795,183051.84592899968,256.845070713754,80.61134834616537,0.6167024830055658,1900,2800,2900,3600,5200,9300,18000,34000,131000,183000,183000
