Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,53938,1,590.0,781.1583540648658,5.452985999909288,130240.47691899978,113.99788646223442,89.94370813399892,0.001667538806296098,590,750,950,1000,1200,2100,3700,4200,16000,65000,130000
POST,/rni/v2/queries/rab_info/1,53982,0,600.0,781.8415230320919,5.576717000167264,66356.39512600028,403.0,90.01707984147596,0.0,600,750,960,1000,1200,2100,3700,4200,16000,33000,66000
,Aggregated,107920,1,600.0,781.5000778156846,5.452985999909288,130240.47691899978,258.5578576723499,179.9607879754749,0.001667538806296098,600,750,950,1000,1200,2100,3700,4200,16000,33000,130000
