Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1695351504,500,,Aggregated,151.000000,0.000000,840,980,1100,1200,2100,3600,4100,4900,8500,10000,10000,4270,0,840.0,1186.1067790562026,248.24108000007072,10415.079957000216,256.2665105386417
1695351505,500,,Aggregated,154.200000,0.000000,850,970,1100,1200,2100,3500,4100,4600,8500,10000,10000,4428,0,850.0,1180.1914206282718,248.24108000007072,10415.079957000216,256.3462059620596
1695351506,500,,Aggregated,156.900000,0.000000,850,980,1100,1200,2100,3000,4100,4400,8500,10000,10000,4575,0,850.0,1181.112137806117,248.24108000007072,10415.079957000216,256.3206557377049
1695351507,500,,Aggregated,160.000000,0.000000,860,980,1100,1200,2100,2800,4000,4400,8500,16000,16000,4750,0,860.0,1182.0543619646292,248.24108000007072,16352.952777000155,256.3096842105263
1695351508,500,,Aggregated,161.300000,0.000000,860,980,1100,1200,2000,2800,4000,4400,8500,16000,16000,4900,0,860.0,1182.7221746163239,248.24108000007072,16352.952777000155,256.2587755102041
1695351509,500,,Aggregated,162.100000,0.000000,880,980,1100,1200,2000,2700,4000,4400,8500,16000,16000,5050,0,880.0,1184.3931950988097,248.24108000007072,16352.952777000155,256.6114851485149
1695351510,500,,Aggregated,163.800000,0.000000,890,970,1100,1200,2000,2700,4000,4400,8900,16000,16000,5202,0,890.0,1187.5230219140683,248.24108000007072,16352.952777000155,256.6111111111111
1695351511,500,,Aggregated,161.700000,0.000000,900,980,1100,1200,2000,2700,4000,4400,8900,16000,16000,5355,0,900.0,1194.2962364440684,248.24108000007072,16352.952777000155,256.8539682539683
1695351512,500,,Aggregated,160.000000,0.000000,900,980,1100,1200,2000,2700,4000,4400,8900,16000,16000,5510,0,900.0,1192.4469802009041,248.24108000007072,16352.952777000155,256.66424682395643
1695351513,500,,Aggregated,157.200000,0.000000,900,980,1100,1200,2000,2700,4000,4400,8900,16000,16000,5659,0,900.0,1192.1615571263444,248.24108000007072,16352.952777000155,256.07421805972785
1695351514,500,,Aggregated,157.200000,0.000000,900,980,1100,1200,2000,2700,4000,4400,8900,16000,16000,5786,0,900.0,1192.2174418159318,248.24108000007072,16352.952777000155,256.00259246456966
1695351515,500,,Aggregated,154.400000,0.000000,910,990,1100,1200,2000,2600,4000,4300,8900,16000,16000,5918,0,910.0,1196.1319008264575,248.24108000007072,16352.952777000155,256.0582967218655
1695351516,500,,Aggregated,154.600000,0.000000,910,1000,1100,1200,2000,2600,4000,4400,8500,16000,16000,6050,0,910.0,1202.5216165781783,248.24108000007072,16352.952777000155,256.1115702479339
1695351517,500,,Aggregated,150.300000,0.000000,920,1000,1100,1200,2000,2700,4000,4400,8700,16000,16000,6203,0,920.0,1214.9215892950147,248.24108000007072,16352.952777000155,256.5199097211027
1695351518,500,,Aggregated,148.600000,0.000000,920,1000,1100,1200,2100,2700,4100,4400,8700,16000,16000,6344,0,920.0,1226.5212956268888,248.24108000007072,16352.952777000155,256.49558638083226
1695351519,500,,Aggregated,146.900000,0.000000,930,1000,1100,1300,2100,3000,4100,4900,8700,16000,16000,6494,0,930.0,1239.6306561194917,248.24108000007072,16352.952777000155,256.4528795811518
1695351520,500,,Aggregated,145.500000,0.000000,930,1000,1100,1300,2100,3000,4100,4900,8700,16000,16000,6635,0,930.0,1240.429024397586,248.24108000007072,16352.952777000155,256.77950263752825
1695351521,500,,Aggregated,143.600000,0.000000,930,1000,1100,1300,2100,3000,4100,4900,8700,16000,16000,6775,0,930.0,1241.3463515346107,248.24108000007072,16352.952777000155,256.34583025830256
1695351522,500,,Aggregated,142.600000,0.000000,930,1000,1100,1400,2100,3600,4100,4900,8700,16000,16000,6921,0,930.0,1252.5118016217282,248.24108000007072,16352.952777000155,256.26600202282907
1695351523,500,,Aggregated,143.200000,0.000000,930,1000,1100,1400,2100,3600,4200,4900,8700,16000,16000,7077,0,930.0,1255.718344464743,248.24108000007072,16352.952777000155,256.192737035467
1695351524,500,,Aggregated,141.200000,0.000000,930,1000,1100,1400,2100,3600,4200,4900,8900,16000,16000,7211,0,930.0,1259.3382256166947,248.24108000007072,16352.952777000155,256.6764665094994
1695351525,500,,Aggregated,141.200000,0.000000,940,1000,1100,1400,2100,3600,4200,4900,8900,16000,16000,7363,0,940.0,1263.469534137713,248.24108000007072,16352.952777000155,256.7533614016026
1695351526,500,,Aggregated,140.900000,0.000000,940,1000,1100,1500,2100,3700,4200,4900,8900,16000,16000,7497,0,940.0,1267.628552680804,248.24108000007072,16352.952777000155,256.6303854875284
1695351527,500,,Aggregated,143.500000,0.000000,950,1000,1100,1500,2100,3700,4200,4900,8900,16000,16000,7632,0,950.0,1271.6238134288503,248.24108000007072,16352.952777000155,256.2658542976939
1695351528,500,,Aggregated,145.000000,0.000000,950,1000,1100,1600,2100,3600,4200,4900,8900,16000,16000,7775,0,950.0,1274.6601416765252,248.24108000007072,16352.952777000155,256.25118971061096
1695351529,500,,Aggregated,144.000000,0.000000,950,1000,1100,1800,2100,3700,4200,5100,8900,16000,16000,7929,0,950.0,1289.501695754947,248.24108000007072,16352.952777000155,256.2584184638668
1695351530,500,,Aggregated,142.400000,0.000000,950,1000,1100,1800,2100,3700,4200,5100,8700,16000,16000,8069,0,950.0,1293.2490734512305,248.24108000007072,16352.952777000155,256.22567852274136
