Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,328250,40,580.0,739.1676033003963,302.46045800049615,131115.19966800004,171.97904036557503,91.1887370474674,0.011112108094131594,580,620,640,660,1100,1200,2200,4100,14000,56000,131000
POST,/rni/v2/queries/rab_info/1,328730,53,580.0,740.2341079720868,304.8956319998979,131113.67835899908,846.8634411218934,91.32208234459698,0.014723543224724363,580,620,640,660,1100,1200,2200,4100,9400,65000,131000
,Aggregated,656980,93,580.0,739.7012452388474,302.46045800049615,131115.19966800004,509.6677813632074,182.51081939206438,0.025835651318855957,580,620,640,660,1100,1200,2200,4100,11000,64000,131000
