Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,44812,0,13,24.666778740627514,5.564112000001842,716.1737129999892,172.0,24.900331510007035,0.0,13,22,29,33,54,86,120,140,200,710,720
POST,/rni/v2/queries/rab_info/1,44097,0,13,24.970812527225032,5.632513999898947,714.5754339999257,847.0,24.503033084816124,0.0,13,22,29,34,55,86,120,140,220,700,710
,Aggregated,88909,0,13,24.817573124633686,5.564112000001842,716.1737129999892,506.7858484517878,49.40336459482316,0.0,13,22,29,34,55,86,120,140,210,710,720
