Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,439254,286893,12,2061.210707070025,0.5987060012557777,180018.84921800048,59.66045158382166,244.071440935957,159.41206660483346,12,750,800,870,1900,4200,16000,50000,131000,132000,180000
POST,/rni/v2/queries/rab_info/1,437137,285335,12,2057.9463584944297,0.6128980003268225,180018.5806119989,294.1327181181186,242.89513009880716,158.54636406147992,12,750,800,870,1900,4200,16000,49000,131000,132000,180000
,Aggregated,876391,572228,12,2059.582475443622,0.5987060012557777,180018.84921800048,176.61339059848856,486.9665710347642,317.95843066631335,12,750,800,870,1900,4200,16000,49000,131000,132000,180000
