Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1694880394,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1694880395,1000,,Aggregated,0.000000,0.000000,780,800,810,840,850,910,920,920,920,920,920,34,0,770.0,774.2880499117746,577.9225579990452,921.6853190009715,588.9117647058823
1694880396,1000,,Aggregated,0.000000,0.000000,1000,1200,1500,1600,1700,1800,1800,1800,1900,1900,1900,176,15,1000.0,1154.7530600226683,577.9225579990452,1869.6398760002921,491.0056818181818
1694880397,1000,,Aggregated,0.000000,0.000000,1700,2100,2300,2400,2600,2700,2700,2700,2800,2800,2800,305,15,1700.0,1665.3570565081957,577.9225579990452,2845.8597120006743,504.3606557377049
1694880398,1000,,Aggregated,44.500000,0.000000,1700,2400,2600,2700,3200,3600,3600,3700,3700,3700,3700,448,21,1700.0,1867.5742657053556,577.9225579990452,3733.1555920009123,493.90401785714283
1694880399,1000,,Aggregated,72.000000,5.000000,2000,2700,3300,3700,3800,4100,4600,4700,4900,4900,4900,656,102,2000.0,2205.1710167820074,577.9225579990452,4854.979187999561,430.2789634146341
1694880400,1000,,Aggregated,87.750000,3.750000,1700,2600,3100,3600,3800,4100,4800,4900,5600,5600,5600,782,102,1700.0,2108.468663361896,577.9225579990452,5640.0847759996395,448.2225063938619
1694880401,1000,,Aggregated,113.400000,20.400000,1500,2400,2900,3600,3800,4600,4900,5900,6800,6800,6800,904,102,1400.0,2067.502219449112,577.9225579990452,6751.888290000352,451.2654867256637
1694880402,1000,,Aggregated,116.333333,17.000000,1300,2300,2700,3200,3800,4600,5600,6700,6900,6900,6900,1022,102,1300.0,2047.1551228444214,577.9225579990452,6893.460875000528,458.6497064579256
1694880403,1000,,Aggregated,118.714286,14.571429,1300,2200,2600,3100,3800,4600,5600,6000,6900,6900,6900,1152,102,1300.0,2002.8266100650976,577.9225579990452,6893.460875000528,462.6302083333333
1694880404,1000,,Aggregated,117.500000,12.750000,1300,2100,2600,2900,3800,4500,5600,6700,9200,9200,9200,1288,102,1300.0,2007.1161486304334,577.9225579990452,9218.644694999966,467.0551242236025
1694880405,1000,,Aggregated,118.111111,11.333333,1300,2100,2600,3100,4100,4600,5600,6800,10000,10000,10000,1426,102,1300.0,2058.5056518688607,577.9225579990452,10405.103129000054,469.74263674614303
1694880406,1000,,Aggregated,120.200000,10.200000,1300,2100,2600,3100,4100,4600,5600,6800,10000,11000,11000,1552,102,1300.0,2046.5189518814386,577.9225579990452,11183.241726999768,475.14497422680415
1694880407,1000,,Aggregated,133.400000,10.200000,1300,2100,2500,2900,4100,4500,5600,6800,10000,11000,11000,1679,102,1300.0,2021.0388237010118,577.9225579990452,11183.241726999768,476.73853484216795
1694880408,1000,,Aggregated,137.800000,10.200000,1300,2100,2400,2800,4100,4500,5200,6800,10000,11000,11000,1825,102,1300.0,1992.9177016619121,577.9225579990452,11183.241726999768,486.01698630136985
1694880409,1000,,Aggregated,137.700000,8.700000,1300,2100,2400,2800,4100,4500,5600,6800,10000,11000,11000,1954,102,1200.0,1995.2596664196453,577.9225579990452,11183.241726999768,488.43091095189357
1694880410,1000,,Aggregated,137.700000,8.700000,1200,2100,2300,2700,4100,4500,5900,8200,11000,16000,16000,2087,102,1200.0,1997.4129350857709,577.9225579990452,15845.606389999375,490.90560613320554
1694880411,1000,,Aggregated,130.300000,0.000000,1300,2100,2700,3600,4600,16000,16000,17000,17000,17000,17000,2356,242,1300.0,2805.6888864660527,577.9225579990452,16753.727081999386,462.60950764006793
1694880412,1000,,Aggregated,130.100000,0.000000,1300,2100,2700,3700,4600,16000,17000,17000,18000,18000,18000,2476,243,1300.0,2901.7395078194804,577.9225579990452,17632.501339001465,463.9947495961228
