Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,46408,1153,1200.0,4319.799883873915,623.4332559997711,147455.32963700133,167.726685054301,77.38751409706991,1.922681515125013,1200,1900,2200,2900,5000,14000,36000,83000,131000,131000,147000
POST,/rni/v2/queries/rab_info/1,46797,1111,1200.0,4231.1403267441265,577.9225579990452,131270.21301199967,826.8915101395388,78.03618982073307,1.8526445475315607,1200,1800,2200,2800,4900,13000,34000,72000,131000,131000,131000
,Aggregated,93205,2264,1200.0,4275.285090729788,577.9225579990452,147455.32963700133,498.6846413819001,155.42370391780298,3.7753260626565734,1200,1900,2200,2900,4900,14000,35000,77000,131000,131000,147000
