Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/rni/v2/queries/plmn_info/1,609840,465516,1100.0,2364.9200089531114,0.7418900004267925,170906.21015299985,40.705312868949235,338.6630496763335,258.51546017500993,1100,1400,1900,2100,3100,5100,12000,29000,131000,132000,171000
POST,/rni/v2/queries/rab_info/1,608876,464737,1100.0,2342.0230631177615,0.7185699996625772,170907.21094000037,200.51001024839212,338.1277106039736,258.0828573354162,1100,1400,1900,2100,3100,5100,12000,28000,131000,133000,171000
,Aggregated,1218716,930253,1100.0,2353.4805917365175,0.7185699996625772,170907.21094000037,120.54445908644836,676.790760280307,516.5983175104261,1100,1400,1900,2100,3100,5100,12000,29000,131000,132000,171000
